Belgium,Finland,France,Germany,Ireland,Israel,Italy,Luxembourg,Malta,Monaco,Norway,Portugal,Spain,Sweden,Switzerland,The Netherlands,Turkey,United Kingdom,Yugoslavia,Austria,Greece,Denmark,Morocco,Cyprus,Iceland,Bosnia & Herzegovina,Croatia,Slovenia,Estonia,Hungary,Lithuania,Poland,Romania,Russia,Slovakia,F.Y.R. Macedonia,Latvia,Ukraine,Albania,Andorra,Belarus,Serbia & Montenegro,Bulgaria,Moldova,Armenia,Czech Republic,Georgia,Montenegro,Serbia,Azerbaijan,San Marino,Australia,Macedonia,The Netherands
15,7,4,17,9,11,3,5,12,13,18,16,10,8,6,1,19,2,14,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
8,11,2,15,10,6,7,14,55,3,18,12,16,55,4,9,55,1,17,5,13,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
7,10,1,8,3,11,13,16,55,4,14,15,9,18,6,12,55,2,55,17,5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
2,18,3,6,5,1,12,7,55,4,20,17,10,14,9,13,19,11,55,15,8,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
18,14,3,4,5,1,15,13,55,16,11,9,2,17,10,12,55,7,55,19,8,6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
17,19,11,2,1,55,6,9,55,55,16,7,12,10,4,5,15,3,55,8,13,14,18,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
13,16,3,2,5,7,55,11,55,55,20,18,14,10,4,9,19,1,15,17,8,12,55,6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
4,18,55,1,11,2,55,6,55,55,12,13,10,8,3,16,15,7,14,9,55,17,55,5,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
18,11,8,5,55,2,12,1,55,55,9,13,19,3,15,7,20,6,4,10,14,17,55,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
6,9,8,13,2,55,5,10,55,55,17,11,3,1,16,14,12,7,18,19,55,4,55,15,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19,9,10,2,6,5,7,13,55,55,1,18,14,3,12,55,15,4,55,8,16,11,55,17,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
1,15,17,8,4,19,55,3,55,55,12,14,10,5,2,13,9,7,11,18,55,6,55,20,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
11,15,14,2,1,8,3,21,55,55,9,18,19,12,17,6,22,13,4,20,10,5,55,7,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19,20,10,14,8,7,13,4,55,55,5,18,11,12,1,9,15,2,6,21,17,3,55,55,16,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
19,7,8,14,18,12,9,20,55,55,17,16,6,4,13,15,21,2,1,5,10,3,55,11,22,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
12,21,3,9,2,18,1,13,55,55,22,20,5,16,11,15,17,6,7,10,19,8,55,14,4,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
16,20,2,18,10,3,7,14,6,55,17,8,4,1,5,55,12,11,21,22,13,19,55,9,15,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
20,23,8,16,1,6,4,21,3,55,18,17,14,22,15,9,19,2,13,10,5,12,55,11,7,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
25,17,4,18,1,24,12,20,8,55,5,10,11,7,3,6,21,2,55,14,9,23,55,19,13,16,15,22,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
55,22,7,3,1,55,55,55,5,55,6,8,18,13,20,23,55,10,55,17,14,55,55,11,12,15,16,55,24,4,25,2,21,9,19,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
20,55,4,23,14,8,55,55,11,55,1,21,2,3,55,55,16,10,55,13,12,5,55,9,15,19,6,7,55,22,55,18,55,17,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
16,23,19,55,1,55,55,55,11,55,2,6,20,3,17,7,12,8,55,10,14,55,55,9,13,22,4,21,5,55,55,15,55,55,18,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
